Sentiment_Contrast,File
-0.4999999999999999,d
-1.4090909090909092,d
1.0,d
-2.588235294117647,d
-2.75,d
-2.0,d
-1.0,d
-0.3333333333333333,d
-1.0,d
-0.3333333333333333,d
-0.5,d
1.5,d
-0.6666666666666666,d
1.6666666666666665,d
-1.0,d
-0.8,d
-0.3333333333333333,d
-1.0,d
-2.0,d
0.25,d
-2.4,d
-2.6666666666666665,d
-0.6666666666666666,d
-2.3333333333333335,d
-1.6666666666666665,d
-0.6666666666666666,d
0.25,d
-0.6666666666666666,d
-2.333333333333333,d
-0.6666666666666666,d
0.0,d
-2.0,d
-2.333333333333333,d
-1.0,d
-0.5,d
-1.6666666666666665,d
-1.0,d
-1.0,d
0.3333333333333333,d
-2.333333333333333,d
-0.6666666666666666,d
0.0,d
-2.0,d
0.0,d
-0.25,d
0.5,d
1.25,d
-3.0,d
-0.75,d
-0.3333333333333333,d
-0.25,d
-2.5,d
0.3333333333333333,d
-2.3333333333333335,d
0.0,d
-2.0,d
-1.0,d
1.0,d
1.0,d
-1.6666666666666665,d
0.0,d
-1.3333333333333333,d
-0.3333333333333333,d
1.0,d
-1.0,d
0.0,d
-0.3333333333333333,d
-0.3333333333333333,d
-1.0,d
-1.6666666666666665,d
-1.3333333333333333,d
-2.5,d
-1.3333333333333333,d
-0.5,d
-0.3333333333333333,d
-0.3333333333333333,d
0.3333333333333333,d
0.0,d
-1.5,d
-0.6666666666666666,d
-0.3333333333333333,d
-1.0,d
0.5,d
-0.75,d
-0.3333333333333333,d
-0.3333333333333333,d
0.3333333333333333,d
-1.0,d
0.0,d
0.5,d
-0.3333333333333333,d
-0.75,d
1.3333333333333333,d
-1.0,d
0.3333333333333333,d
0.6666666666666666,d
-1.6666666666666665,d
-0.5,d
-0.5,d
-1.5,d
1.0,d
-0.3333333333333333,d
-2.0,d
0.5,d
0.0,d
-1.6666666666666665,d
-3.0,d
-0.25,d
-0.3333333333333333,d
1.0,d
0.0,d
-0.3333333333333333,d
-1.6666666666666665,d
0.0,d
-1.5,d
-2.0,d
0.0,d
-0.25,d
-0.3333333333333333,d
0.3333333333333333,d
-0.5,d
-0.25,d
0.0,d
1.0,d
0.3333333333333333,d
-0.3333333333333333,d
0.25,d
-0.5,d
-0.5,d
-1.0,d
2.0,d
-1.25,d
0.3333333333333333,d
0.0,d
-1.6666666666666665,d
-2.0,d
-1.75,d
0.3333333333333333,d
-0.3333333333333333,d
1.0,d
-1.0,d
0.3333333333333333,d
-0.6666666666666666,d
-1.3333333333333333,d
-0.25,d
-1.0,d
-2.5,d
0.0,d
0.3333333333333333,d
0.5,d
-1.6666666666666665,d
-0.6666666666666666,d
0.25,d
0.0,d
0.3333333333333333,d
-3.75,d
-1.0,d
-0.3333333333333333,d
-0.5,d
-1.6666666666666665,d
-0.6666666666666666,d
-1.5,d
1.0,d
-0.3333333333333333,d
-0.5,d
-1.75,d
-2.333333333333333,d
1.0,d
-0.3333333333333333,d
-1.0,d
-2.333333333333333,d
0.0,d
-1.0,d
-1.3333333333333333,d
-0.3333333333333333,d
-1.0,d
-0.3333333333333333,d
0.0,d
-2.6666666666666665,d
0.0,d
-1.0,d
0.0,d
1.0,d
-1.0,d
-2.0,d
-1.5,d
0.3333333333333333,d
-1.0,d
-1.5,d
0.25,d
-0.3333333333333333,d
-2.0,d
-0.3333333333333333,d
-1.5,d
-1.3333333333333333,d
-1.5999999999999999,d
