Sentiment_Contrast,File
0.6666666666666666,ft
2.6666666666666665,ft
0.5,ft
0.6666666666666666,ft
2.0,ft
2.0,ft
2.0,ft
1.3333333333333333,ft
1.0,ft
2.5,ft
0.5,ft
1.0,ft
2.0,ft
2.0,ft
1.0,ft
2.333333333333333,ft
0.0,ft
1.0,ft
1.3333333333333333,ft
2.0,demz
1.0,demz
2.5,demz
1.0,demz
0.5,demz
1.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
1.0,demz
0.5,demz
0.0,demz
2.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
1.5,demz
2.0,demz
0.0,demz
2.0,demz
2.0,demz
0.0,demz
0.0,demz
0.0,demz
1.0,demz
0.0,demz
1.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
0.5,demz
1.0,demz
0.0,demz
2.0,demz
1.5,demz
0.0,demz
0.0,demz
1.0,demz
1.0,demz
0.0,demz
3.0,demz
0.0,demz
4.0,demz
0.0,demz
0.0,demz
0.0,demz
4.0,demz
2.0,demz
0.0,demz
0.0,demz
2.0,demz
3.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
1.5,demz
0.0,demz
0.0,demz
1.0,demz
0.0,demz
0.0,demz
0.5,demz
0.0,demz
2.0,demz
4.0,demz
2.0,demz
0.0,demz
0.0,demz
2.0,demz
0.0,demz
0.0,demz
2.0,demz
0.0,demz
0.5,demz
1.0,demz
1.0,demz
0.0,demz
0.0,demz
0.0,demz
1.0,demz
0.0,demz
0.0,demz
0.0,demz
1.0,demz
2.0,demz
1.0,demz
4.0,demz
1.0,demz
0.0,demz
0.0,demz
2.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
2.0,demz
0.0,demz
0.0,demz
4.0,demz
0.0,demz
1.0,demz
1.5,demz
0.0,demz
1.0,demz
0.0,demz
0.0,demz
0.0,demz
1.0,demz
0.0,demz
2.0,demz
0.0,demz
0.0,demz
0.0,demz
1.5,demz
1.0,demz
0.0,demz
0.0,demz
0.0,demz
0.5,demz
0.0,demz
4.0,demz
2.0,demz
0.0,demz
0.0,demz
1.0,demz
0.0,demz
1.5,demz
0.0,demz
0.0,demz
0.0,demz
1.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
2.0,demz
0.0,demz
0.0,demz
0.0,demz
4.0,demz
0.0,demz
1.0,demz
0.0,demz
0.0,demz
2.0,demz
0.0,demz
4.0,demz
0.0,demz
0.0,demz
0.5,demz
0.5,demz
0.0,demz
0.0,demz
0.0,demz
2.0,demz
4.0,demz
2.0,demz
2.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
2.0,demz
4.0,demz
0.0,demz
2.0,demz
2.0,demz
0.0,demz
4.0,demz
0.0,demz
2.0,demz
0.0,demz
1.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
4.0,demz
1.0,demz
0.0,demz
2.0,demz
0.5,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
4.0,demz
2.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
2.0,demz
2.0,demz
1.5,demz
2.4,demz
2.0,demz
2.0,demz
1.0,demz
0.5,demz
2.0,demz
0.5,demz
2.0,demz
1.0,demz
2.0,demz
1.0,demz
0.0,demz
0.0,demz
0.5,demz
0.0,demz
0.0,demz
2.0,demz
0.0,demz
2.0,demz
0.0,demz
0.0,demz
2.0,demz
0.0,demz
0.0,demz
2.0,demz
0.0,demz
0.5,demz
4.0,demz
2.0,demz
0.0,demz
2.0,demz
0.0,demz
0.0,demz
0.0,demz
0.0,demz
0.5,demz
2.0,demz
0.3333333333333333,repz
0.0,repz
-1.0,repz
-0.5,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
-1.0,repz
0.0,repz
2.0,repz
0.0,repz
0.0,repz
0.0,repz
-1.0,repz
1.0,repz
0.0,repz
0.0,repz
0.0,repz
1.0,repz
-1.0,repz
0.0,repz
0.0,repz
-1.0,repz
-1.0,repz
0.5,repz
0.0,repz
2.0,repz
-1.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
-1.0,repz
1.0,repz
0.0,repz
0.0,repz
0.0,repz
1.0,repz
0.0,repz
-1.0,repz
-0.5,repz
1.0,repz
1.0,repz
0.0,repz
-1.0,repz
2.5,repz
2.0,repz
1.0,repz
-1.0,repz
-1.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
-1.0,repz
1.0,repz
0.0,repz
2.0,repz
1.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
-1.0,repz
-1.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
-1.0,repz
0.0,repz
0.0,repz
-1.0,repz
-1.0,repz
0.0,repz
-2.0,repz
0.0,repz
0.0,repz
1.0,repz
-1.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
-1.0,repz
-1.0,repz
1.0,repz
-1.0,repz
0.0,repz
-0.5,repz
1.5,repz
-0.3333333333333333,repz
-0.4,repz
0.0,repz
2.0,repz
-1.0,repz
0.5,repz
0.5,repz
0.0,repz
0.0,repz
0.0,repz
-0.5,repz
2.0,repz
0.5,repz
0.0,repz
0.0,repz
1.0,repz
0.0,repz
0.0,repz
0.0,repz
-1.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
2.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.5,repz
3.0,repz
0.0,repz
0.0,repz
1.0,repz
-1.0,repz
-1.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
1.0,repz
0.0,repz
0.0,repz
1.0,repz
0.0,repz
0.0,repz
-1.0,repz
2.0,repz
1.0,repz
0.0,repz
1.0,repz
1.0,repz
0.0,repz
1.0,repz
3.0,repz
1.0,repz
0.0,repz
0.0,repz
-0.6666666666666666,repz
0.0,repz
-1.0,repz
0.0,repz
0.0,repz
-1.0,repz
0.0,repz
0.0,repz
-0.5,repz
-1.0,repz
1.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
